2023-05-26 17:20:12.2809|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2809|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2809|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2974|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2974|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2974|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2974|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2974|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.2974|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-05-26 17:20:12.3120|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMQTVINRUAG9" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
